Number,Sequence
140208,1000
80317,1001
60402,1002
1000123,1003
80507,1004
80323,1005
80326,1006
110132,1007
90039,1008
150304,1009
50704,1010
110119,1011
50703,1012
1505107,1013
201126,1014
1405033,1015
80311,1016
80211,1017
110116,1018
110301,1019
100010,1020
60704,1021
1301011,1022
150306,1023
150706,1024
80318,1025
50502,1026
60509,1027
60001,1028
60401,1029
80407,1030
100025,1031
110130,1032
70301,1033
1507091,1034
20401,1035
150714,1036
1508041,1037
140112,1038
110211,1039
90036,1040
150707,1041
90026,1042
90015,1043
80322,1044
130102,1045
110124,1046
140104,1047
60601,1048
140412,1049
150709,1050
403101,1051
190003,1052
60123,1053
70402,1054
60320,1055
60801,1056
508001,1057
90038,1058
60410,1059
90027,1060
130101,1061
50706,1062
190002,1063
20108,1064
10106,1065
170202,1066
80414,1067
150301,1068
180401,1069
30302,1070
140209,1071
804133,1072
80413,1073
130302,1074
150108,1075
60314,1076
60806,1077
60804,1078
110107,1079
50702,1080
100007,1081
110112,1082
170301,1083
90007,1084
150202,1085
30401,1086
170207,1087
40308,1088
1508057,1089
40304,1090
60803,1091
60335,1092
60422,1093
60425,1094
140506,1095
150504,1096
80202,1097
80412,1098
60411,1099
140303,1100
80301,1101
170601,1102
80410,1103
110111,1104
70202,1105
60702,1106
50103,1107
30301,1108
100013,1109
110113,1110
50506,1111
60414,1112
60328,1113
60117,1114
160016,1115
80206,1116
130201,1117
80209,1118
110102,1119
100026,1120
90012,1121
80502,1122
170308,1123
170209,1124
60200,1125
80205,1126
80212,1127
110206,1128
80312,1129
50707,1130
170305,1131
180301,1132
170215,1133
170210,1134
50201,1135
150510,1136
20212,1137
60418,1138
60419,1139
150711,1140
130200,1141
60610,1142
50105,1143
150710,1144
50705,1145
130308,1146
60611,1147
60807,1148
110131,1149
50102,1150
60114,1151
150308,1152
30407,1153
140410,1154
130202,1155
70303,1156
304011,1157
90010,1158
60325,1159
40307,1160
804131,1161
80404,1162
40205,1163
1900081,1164
170208,1165
804211,1166
150305,1167
140407,1168
40109,1169
1806011,1170
80309,1171
60506,1172
40311,1173
1301021,1174
20302,1175
20303,1176
40105,1177
110129,1178
80304,1179
80401,1180
140211,1181
80417,1182
60415,1183
110203,1184
60103,1185
703083,1186
160021,1187
150704,1188
140504,1189
140109,1190
150106,1191
150509,1192
50214,1193
604071,1194
40203,1195
60334,1196
110303,1197
150201,1198
170101,1199
140502,1200
60403,1201
50107,1202
40110,1203
804201,1204
150102,1205
40113,1206
1504003,1207
1504006,1208
80208,1209
140402,1210
140310,1211
150209,1212
60405,1213
140203,1214
90024,1215
110118,1216
60330,1217
110106,1218
80504,1219
110136,1220
100027,1221
60427,1222
60318,1223
1401021,1224
60603,1225
60112,1226
160006,1227
160005,1228
160015,1229
110304,1230
120105,1231
10104,1232
60321,1233
804142,1234
50701,1235
80203,1236
70307,1237
140113,1238
40312,1239
60116,1240
60404,1241
60309,1242
140404,1243
60331,1244
180205,1245
190007,1246
90003,1247
50601,1248
80505,1249
100024,1250
40108,1251
80409,1252
110216,1253
150208,1254
150701,1255
150402,1256
1102131,1257
50212,1258
50803,1259
130301,1260
40303,1261
403091,1262
130404,1263
130405,1264
90016,1265
50003,1266
110117,1267
80210,1268
80503,1269
110207,1270
170201,1271
1508061,1272
150712,1273
40313,1274
110134,1275
40104,1276
150302,1277
80307,1278
50710,1279
100004,1280
